Original File name,Location,Suppliers Reference,Title,Description,Year,Creator,Keywords,caption,image_id,IMAGE LINK
2005-001-151-01.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/1,Eight boys in a field eating water melons,Eight boys in a field eating water melons wearing hats. Caption reads: 'Water melons',c.1860,,Caribbean,Eight boys in a field eating water melons,188999,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=188999&width=300&format=jpeg
2005-001-151-02.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/2,Garden with bungalow and large tree,Garden with bungalow and large tree. No caption.,c1860,,Caribbean,Garden with bungalow and large tree,189000,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189000&width=300&format=jpeg
2005-001-151-03.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/3,"[Deck?] Street, Jamaica","Long street lined with a church and houses. Sea and ship masts on horizon. Caption reads: '[Deck?] Street, Jamaica'",c.1860,,Jamaica,"[Deck?] Street, Jamaica",189001,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189001&width=300&format=jpeg
2005-001-151-04.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/4,"King Street, Kingston, Jamaica","Lively street scene taken from above. Street full of people and vehicles. Caption reads: 'King Street, Kingston'",c.1860,,Jamaica,"King Street, Kingston, Jamaica",189002,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189002&width=300&format=jpeg
2005-001-151-05.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/5,"King Street, Kingston, Jamaica","Crowded street scene taken from above. Similar view to 2005/001/151/5. Caption reads: 'King Street, Kingston'",c.1860,,Jamaica,"King Street, Kingston, Jamaica",189003,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189003&width=300&format=jpeg
2005-001-151-06.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/6,"Market day, Kingston, Jamaica","Crowds of people and animals. Caption reads: 'Market day, Kingston'",c.1860,,Jamaica,"Market day, Kingston, Jamaica",189004,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189004&width=300&format=jpeg
2005-001-151-07.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/7,Fruit carriers,"Men and women carrying bananas.
Caption reads: 'Fruit carriers'",c.1860,,Caribbean,Fruit carriers,189005,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189005&width=300&format=jpeg
2005-001-151-08.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/8,Fruit carriers,"Two women pose with bananas in carefully arranged shot.
Caption reads: 'Fruit carriers'",c.1860,,Caribbean,Fruit carriers,189006,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189006&width=300&format=jpeg
2005-001-151-09.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/9,"Entrance to Marine Gardens, Kingston, Jamaica","Entrance gates and avenue of Marine Gardens. Figures can be seen along the avenue. Caption reads: 'Entrance to Marine Gardens, Kingston'",c.1860,,Jamaica,"Entrance to Marine Gardens, Kingston, Jamaica",189007,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189007&width=300&format=jpeg
2005-001-151-10.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/10,"Marine Gardens, Kingston, Jamaica","Interior of gardens with posed figures.
Caption reads: 'Marine Gardens, Kingston'",c.1860,,Jamaica,"Marine Gardens, Kingston, Jamaica",189008,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189008&width=300&format=jpeg
2005-001-151-11.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/11,"Sea view, Marine Gardens, Kingston, Jamaica","Calm sea view with deep reflections.
Caption reads: 'Marine Gardens, Kingston. Sea view'",c.1860,,Jamaica,"Sea view, Marine Gardens, Kingston, Jamaica",189009,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189009&width=300&format=jpeg
2005-001-151-12.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/12,"Castleton Gardens, Jamaica","Showing interior of Castleton Gardens. 
Caption reads: 'Castleton Gardens, Jamaica'",c.1860,,Jamaica,"Castleton Gardens, Jamaica",189010,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189010&width=300&format=jpeg
2005-001-151-13.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/13,"Kingston from the sea, Jamaica","Kingston with hills behind, taken from the sea. Caption reads: 'Kingston from the sea'",c.1860,,Jamaica,"Kingston from the sea, Jamaica",189011,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189011&width=300&format=jpeg
2005-001-151-14.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/14,"Market Square, St Vincent","Crowded street scene with unposed figures. Taken by Norton Bros and Co.
Caption reads: 'Market Square, St Vincent'",c.1860,,St. Vincent,"Market Square, St Vincent",189012,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189012&width=300&format=jpeg
2005-001-151-15.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/15,"Botanical Gardens, St Vincent","Botanical Gardens taken from above by Norton Bros and Co.Caption reads: 'Botanical Gardens, St Vincent'",c.1860,,St. Vincent,"Botanical Gardens, St Vincent",189013,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189013&width=300&format=jpeg
2005-001-151-16.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/16,"Going to Market, St Vincent","Five men with three laden mules on way to market. Taken by Norton Bros and Co. Caption reads: 'Going to Market, St Vincent'",c.1860,,St. Vincent,"Going to Market, St Vincent",189014,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189014&width=300&format=jpeg
2005-001-151-17.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/17,"Government House, St Vincent","View of Government House with union flag flying. Taken by Norton Bros and Co. Caption reads: 'Government House, St Vincent'",c.1860,,St. Vincent,"Government House, St Vincent",189015,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189015&width=300&format=jpeg
2005-001-151-18.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/18,"View of Hamilton, Bermuda","View of Hamilton, Bermuda, across the sea. Numbered 22 in a series.
Caption reads: 'Hamilton from Windam'",c.1860,,Bermuda,"View of Hamilton, Bermuda",189016,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189016&width=300&format=jpeg
2005-001-151-19.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/19,"View of Hamilton, Bermuda","View of Hamilton, Bermuda, taken from above. Numbered 24 in a series.
Caption reads: 'Hamilton'",c.1860,,Bermuda,"View of Hamilton, Bermuda",189017,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189017&width=300&format=jpeg
2005-001-151-20.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/20,"West End, Victoria Park, Bermuda","View of Victoria Park. Numbered 20 in a series. Caption reads: 'West End, Victoria Park'",c.1860,,Bermuda,"West End, Victoria Park, Bermuda",189018,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189018&width=300&format=jpeg
